Obs_number,File_Img,Sentence,Round,skd.justification_any,skd.J_Emergency_Policy,skd.J_Legal_Procedure,skd.J_Terrorism,skd.J_Misc,skd.J_Law_Order,skd.J_Utilitarian_Deterrence,skd.J_Intl_Domestic_Precedent,skd.J_Development_Unity,skd.J_Political_Strategic,skd.J_Last_Resort,skd.J_Denial
378,2305_DEFE_13_917,The techniques of interrogation,2,,,,,,,,,,,,
379,2305_DEFE_13_917,The latest instructions on the rules,2,,,,,,,,,,,,
380,2305_DEFE_13_917,2. These general rules include,2,,,,,,,,,,,,
381,2305_DEFE_13_917,a. Medical examination and record,2,,,,,,,,,,,,
382,2305_DEFE_13_917,b. Subjects to be seen daily,2,,,,,,,,,,,,
383,2305_DEFE_13_917,c. The following are prohibited:,2,,,,,,,,,,,,
384,2305_DEFE_13_917,(i) violence to life and person,2,,,,,,,,,,,,
385,2305_DEFE_13_917,(ii) outrages upon personal,2,,,,,,,,,,,,
386,2305_DEFE_13_917,d. Subjects are to be treated,2,,,,,,,,,,,,
387,2305_DEFE_13_917,(These rules follow the broad,2,,,,,,,,,,,,
388,2305_DEFE_13_917,3. The precise application of these,2,,,,,,,,,,,,
389,2305_DEFE_13_917,Intelligence is the key,2,1,,,1,1,,,,,,,
390,2305_DEFE_13_917,[foot text],2,,,,,,,,,,,,
391,6300_PREM_15_484,[head text],2,,,,,,,,,,,,
392,6300_PREM_15_484,handling of arrested persons,2,,,,,,,,,,,,
393,6300_PREM_15_484,The Home Office are arranging,2,,,,,,,,,,,,
394,6300_PREM_15_484,Reporting in the Times,2,,,,,,,,,,,,
395,6300_PREM_15_484,10. Official dissatisfaction is,2,,,,,,,,,,,,
396,6300_PREM_15_484,[foot text],2,,,,,,,,,,,,
397,6681_PREM_15_1001,[head text],2,,,,,,,,,,,,
398,6681_PREM_15_1001,The latest complete figures,2,1,,1,,,,,,,,,
399,6681_PREM_15_1001,They are correct up,2,,,,,,,,,,,,
400,6681_PREM_15_1001,Arrested,2,,,,,,,,,,,,
401,6681_PREM_15_1001,Released without detention,2,,,,,,,,,,,,
402,6681_PREM_15_1001,Released after detention,2,,,,,,,,,,,,
403,6681_PREM_15_1001,Released after consideration by,2,,,,,,,,,,,,
404,6681_PREM_15_1001,Released from internment on ,2,,,,,,,,,,,,
405,6681_PREM_15_1001,Held under Regulation10,2,,,,,,,,,,,,
406,6681_PREM_15_1001,Held under detention order,2,,,,,,,,,,,,
407,6681_PREM_15_1001,Interned,2,,,,,,,,,,,,
408,6681_PREM_15_1001,[foot text],2,,,,,,,,,,,,
409,PREM_15_478_151,[head text],2,,,,,,,,,,,,
410,PREM_15_478_151,Was agreed that meanwhile,2,,,,,,,,,,,,
411,PREM_15_478_151,4. The general impression left,2,,,,,,,,,,,,
412,PREM_15_478_151,Dr. Hillery mentioned but did,2,,,,,,,,,,,,
413,PREM_15_478_151,He did not suggest a conference,2,,,,,,,,,,,,
414,PREM_15_478_151,[foot text],2,,,,,,,,,,,,
415,PREM_15_478_207,[head text],2,,,,,,,,,,,,
416,PREM_15_478_207,and will not prejudice continuing,2,1,,,,,,,,1,,,
417,PREM_15_478_207,I had already invited Mr. Lynch,2,,,,,,,,,,,,
418,PREM_15_478_207,[foot text],2,,,,,,,,,,,,
419,9737_DEFE_13_1358,207. The following week saw,2,,,,,,,,,,,,
420,9737_DEFE_13_1358,sentence 2,2,,,,,,,,,,,,
421,9737_DEFE_13_1358,sentence 3,2,,,,,,,,,,,,
422,9737_DEFE_13_1358,There were some indications,2,,,,,,,,,,,,
423,9737_DEFE_13_1358,208. The government announced an,2,1,,,,,,,,,1,,
424,9737_DEFE_13_1358,The establishment of a second,2,,,,,,,,,,,,
425,9737_DEFE_13_1358,209. The proaganda campaign against,2,,,,,,,,,,,,
426,9737_DEFE_13_1358,Now allegations of brutality,2,,,,,,,,,,,,
427,9737_DEFE_13_1358,210. More than half of the bomb,2,,,,,,,,,,,,
428,9737_DEFE_13_1358,It was thought that the device,2,,,,,,,,,,,,
429,9737_DEFE_13_1358,Other explosions occurred in public houses,2,,,,,,,,,,,,
430,9737_DEFE_13_1358,On 15 January a radio controlled bomb,2,,,,,,,,,,,,
431,9737_DEFE_13_1358,The bomb was designed,2,,,,,,,,,,,,
432,9737_DEFE_13_1358,This was the first ,2,,,,,,,,,,,,
433,9737_DEFE_13_1358,211. In Londonderry the main events,2,,,,,,,,,,,,
434,9737_DEFE_13_1358,In one such incident a grenade,2,,,,,,,,,,,,
435,9737_DEFE_13_1358,"However, three out of the five",2,,,,,,,,,,,,
436,9737_DEFE_13_1358,212. During this period a reduction,2,,,,,,,,,,,,
437,9737_DEFE_13_1358,"Sniping attacks were, in general",2,,,,,,,,,,,,
438,9737_DEFE_13_1358,On 17 January seven Provisional,2,,,,,,,,,,,,
439,9737_DEFE_13_1358,None of the seven were,2,,,,,,,,,,,,
440,6303_PREM_15_484,[head text],2.5,,,,,,,,,,,,
441,6303_PREM_15_484,Incidents in the last 24 hours,2.5,,,,,,,,,,,,
442,6303_PREM_15_484,The period was comparatively quiet,2.5,,,,,,,,,,,,
443,6303_PREM_15_484,There were eight shooting,2.5,,,,,,,,,,,,
444,6303_PREM_15_484,The Londonderry shooting occurred,2.5,,,,,,,,,,,,
445,6303_PREM_15_484,2. Explosions were confined to nail bombs,2.5,,,,,,,,,,,,
446,6303_PREM_15_484,The latter were thrown,2.5,,,,,,,,,,,,
447,6303_PREM_15_484,3. One wanted man,2.5,,,,,,,,,,,,
448,6303_PREM_15_484,Disposal following Arrest,2.5,,,,,,,,,,,,
449,6303_PREM_15_484,4. About half of those arrested,2.5,,,,,,,,,,,,
450,6303_PREM_15_484,The remainder are made,2.5,,,,,,,,,,,,
451,6303_PREM_15_484,The number of people,2.5,,,,,,,,,,,,
452,6303_PREM_15_484,Irish reaction to Mr. Wilson's speech,2.5,,,,,,,,,,,,
453,6303_PREM_15_484,5. Reaction in Eire to the speech,2.5,,,,,,,,,,,,
454,6303_PREM_15_484,6. Press reaction in Dublin has ,2.5,,,,,,,,,,,,
455,6303_PREM_15_484,Possible address by Mr. Lynch,2.5,,,,,,,,,,,,
456,6303_PREM_15_484,7. Mr. Lynch is believed to be,2.5,,,,,,,,,,,,
457,6303_PREM_15_484,It is understood that the arrangements,2.5,,,,,,,,,,,,
458,6303_PREM_15_484,Crumlin Jail escape,2.5,,,,,,,,,,,,
459,6303_PREM_15_484,8. The Foregin and Commonwealth Office are,2.5,,,,,,,,,,,,
460,7165_PREM_15_1005,"Times story that ""the RUC",2.5,,,,,,,,,,,,
461,7165_PREM_15_1005,10. This is not the case,2.5,,,,,,,,,,,,
462,7165_PREM_15_1005,The RUC Police Authority,2.5,,,,,,,,,,,,
463,7165_PREM_15_1005,But in the powers now,2.5,,,,,,,,,,,,
464,7165_PREM_15_1005,When will the bill be available?,2.5,,,,,,,,,,,,
465,7165_PREM_15_1005,11. Copies of the draft Bill,2.5,,,,,,,,,,,,
466,7165_PREM_15_1005,The Bill will be ,2.5,,,,,,,,,,,,
467,7165_PREM_15_1005,Judge Brown's Committee,2.5,1,,1,,,,,,,,,
468,7165_PREM_15_1005,12. An appeal committee to hear,2.5,1,,1,,,,,,,,,
